Eisean	Pron:Pers:3P:Sg:Masc:Emph	eisean
loitiméireacht	Noun:Fem:Com:Sg:Len	loitiméireacht
á	Prep:Poss:3P:Sg:Masc:Obj	do
dhéanamh	Verbal:Noun:VTI:Len	déanamh
ar	Prep:Simp	ar
thoradh	Noun:Masc:Com:Sg:Len	toradh
shaothar	Noun:Masc:Com:Sg:Len	saothar
na	Art:Pl:Def	na
scol	Noun:Masc:Gen:Weak:Pl:Ecl	scol
trí	Prep:Simp	trí
aineolas	Noun:Masc:Com:Sg	aineolas
nó	Conj:Coord	nó
faillí	Noun:Fem:Com:Sg	faillí
oiread	Subst:Noun:Sg	oiread
sin	Det:Dem	sin
daoine	Noun:Masc:Gen:Strong:Pl	duine
agus	Conj:Coord	agus
dreamanna	Noun:Masc:Gen:Strong:Pl	dream
sa	Prep:Art:Sg	i
tír	Noun:Fem:Com:Sg	tír
.	Punct:Fin	.
Sa	Prep:Art:Sg	i
deireadh	Noun:Masc:Com:Sg:DefArt	deireadh
,	Punct:Int	,
bhí	Verb:PastInd:Len	bí
cúis	Noun:Fem:Com:Sg	cúis
eile	Det:Dem	eile
ann	Pron:Prep:3P:Sg:Masc	i
a	Part:Vb:Rel:Direct	a
mhíníonn	Verb:VT:PresInd:Len	mínigh
an	Art:Sg:Def	an
spéis	Noun:Fem:Com:Sg:DefArt	spéis
ar	Prep:Simp	ar
leith	Noun:Fem:Com:Sg	leith
a	Part:Vb:Rel:Direct	a
léirigh	Verb:VT:PastInd:Len	léirigh
údaráis	Noun:Masc:Com:Pl	údarás
na	Art:Gen:Sg:Def:Fem	na
Fraince	Prop:Noun:Fem:Gen	Frainc
in	Prep:Simp	i
Éirinn	Prop:Noun:Fem:Dat:Sg	Éire
:	Punct:Int	:
fonn	Noun:Masc:Com:Sg	fonn
díoltais	Noun:Masc:Gen:Sg	díoltas
.	Punct:Fin	.
Gearradh	Verb:VTI:PastInd:Auto	gearr
téarma	Noun:Masc:Com:Sg	téarma
príosúnachta	Noun:Fem:Gen:Sg	príosúnacht
air	Pron:Prep:3P:Sg:Masc	ar
,	Punct:Int	,
beart	Noun:Masc:Com:Sg	beart
a	Part:Vb:Rel:Direct	a
chuir	Verb:VTI:PastInd:Len	cuir
fearg	Noun:Fem:Com:Sg	fearg
ar	Prep:Simp	ar
an	Art:Sg:Def	an
tír	Noun:Fem:Com:Sg	tír
.	Punct:Fin	.
Chomhairligh	Verb:VTI:PastInd:Len	comhairligh
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
arís	Adv:Gn	arís
mé	Pron:Pers:1P:Sg	mé
.	Punct:Fin	.
Shín	Verb:VT:PastInd	Sín
Neansaí	Noun:Fem:Com:Sg	neansaí
canna	Noun:Masc:Com:Sg	canna
beorach	Noun:Fem:Gen:Sg	beoir
chugam	Pron:Prep:1P:Sg	chuig
.	Punct:Fin	.
Cineálacha	Noun:Masc:Com:Pl	cineál
Breiseán	Noun:Masc:Gen:Weak:Pl	breiseán
Bia	Noun:Masc:Gen:Sg	bia
Is	Cop:Pres	is
iad	Pron:Pers:3P:Pl	iad
seo	Pron:Dem	seo
na	Art:Pl:Def	na
príomhchineálacha	Noun:Masc:Com:Pl:DefArt	cineál
breiseán	Noun:Masc:Gen:Weak:Pl	breiseán
bia	Noun:Masc:Gen:Sg	bia
:	Punct:Int	:
-	Punct:Bar	-
1)	Item	1)
dathuithe	Noun:Masc:Com:Pl:Corr	dathú
,	Punct:Int	,
2)	Item	2)
leasaithigh	Noun:Masc:Com:Pl	leasaitheach
,	Punct:Int	,
3)	Item	3)
antocsaídigh	Noun:Masc:Com:Pl:Corr	antocsaídigh
,	Punct:Int	,
4)	Item	4)
eiblitheoirí	Noun:Fem:Com:Pl	eiblitheoir
agus	Conj:Coord	agus
cobhsaitheoirí	Noun:Masc:Com:Pl	cobhsaitheoir
,	Punct:Int	,
5)	Item	5)
milsitheoirí	Noun:Fem:Com:Pl	milsitheoir
,	Punct:Int	,
6)	Item	6)
blastáin	Noun:Masc:Com:Pl	blastán
.	Punct:Fin	.
Fad	Noun:Masc:Com:Sg	fad
is	Conj:Subord	agus
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
an	Art:Sg:Def	an
sclábhaíocht	Noun:Fem:Com:Sg:DefArt	sclábhaíocht
idirnáisiúnta	Adj:Fem:Com:Sg	idirnáisiúnta
ar	Prep:Simp	ar
siúl	Verbal:Noun	siúl
aige	Pron:Prep:3P:Sg:Masc	ag
,	Punct:Int	,
áfach	Adv:Gn	áfach
bhí	Verb:PastInd:Len	bí
fadhbanna	Noun:Fem:Com:Pl	fadhb
ag	Prep:Simp	ag
baile	Noun:Masc:Com:Sg	baile
-	Punct:Bar	-
ní	Cop:Pres:Neg	is
gá	Noun:Masc:Com:Sg	gá
ach	Conj:Subord	ach
smaoineamh	Verbal:Noun	smaoineamh
ar	Prep:Simp	ar
an	Art:Sg:Def	an
gconspóid	Noun:Fem:Com:Sg:Ecl	conspóid
reatha	Noun:Masc:Gen:Sg	rith
faoi	Prep:Simp	faoi
Stephen	Prop:Noun:Pers	Stephen
Byers	Prop:Noun:Masc:Com:Sg	Byers
,	Punct:Int	,
nó	Conj:Coord	nó
an	Art:Sg:Def	an
pharailís	Noun:Fem:Com:Sg	pharailís
sa	Prep:Art:Sg	i
chóras	Noun:Masc:Com:Sg:Len	córas
Sláinte	Noun:Fem:Gen:Sg	sláinte
poiblí	Adj:Fem:Gen:Sg	poiblí
.	Punct:Fin	.
Fágann	Verb:VTI:PresInd	fág
Mícheál	Prop:Noun:Masc:Com:Sg	Mícheál
na	Art:Pl:Def	na
daltaí	Noun:Masc:Com:Pl	dalta
crom	Adj:Base	crom
os	Prep:Simp	os
cionn	Noun:Masc:Dat:Sg	ceann
a	Det:Poss:3P:Pl	a
gcuid	Noun:Fem:Com:Sg:Ecl	cuid
foghlama	Noun:Fem:Gen:Sg	foghlaim
.	Punct:Fin	.
Bhíomar	Verb:VI:PastInd:1P:Pl:Len	bí
tinn	Adj:Base	tinn
inné	Adj:Base	inné
.	Punct:Fin	.
(2)	Item	(2)
Is	Cop:Pres	is
sa	Prep:Art:Sg	i
bhfuirm	Noun:Fem:Com:Sg	bhfuirm
orduithe	Noun:Masc:Gen:Strong:Pl	ordú
a	Part:Vb:Rel:Direct	a
bheidh	Verb:FutInd:Len	bí
gach	Det:Qty:Def	gach
paitinn	Noun:Fem:Com:Sg	paitinn
agus	Conj:Coord	agus
is	Cop:Pres	is
i	Prep:Simp	i
gcóir	Noun:Fem:Com:Sg:Ecl	cóir
aon	Num:Card	aon
chumadóireachta	Noun:Fem:Gen:Sg:Len	cumadóireacht
amháin	Adj:Base	amháin
a	Part:Vb:Rel:Direct	a
deonfar	Noun:Masc:Com:Sg	deonfar
í	Pron:Pers:3P:Sg:Fem	í
,	Punct:Int	,
ach	Conj:Subord	ach
féadfidh	Verb:FutInd:FutInd	féad
níos	Subst:Noun:Sg:Part:Comp	níos
mó	Adj:Comp	mór
ná	Conj:Coord	ná
aon	Num:Card	aon
éileamh	Noun:Masc:Com:Sg	éileamh
amháin	Adj:Base	amháin
a	Part:Inf	a
bheith	Verbal:Noun:Len	bheith
san	Prep:Art:Sg	i
áireamhacht	Noun:Fem:Com:Sg	áireamhacht
;	Punct:Int	;
agus	Conj:Coord	agus
ní	Part:Vb:Neg	ní
bheidh	Verb:FutInd:Neg:Len	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
i	Prep:Simp	i
gcumas	Noun:Masc:Com:Sg:Ecl	cumas
éinne	Noun:Masc:Com:Sg	duine
in	Prep:Simp	i
aicsean	Noun:Masc:Com:Sg	aicsean
no	Conj:Coord	nó
in	Prep:Simp	i
imeacht	Noun:Masc:Com:Sg	imeacht
eile	Det:Dem	eile
aon	Det:Qty:Idf	aon
agóid	Noun:Fem:Com:Sg	agóid
do	Prep:Simp	do
dhéanamh	Verbal:Noun:VTI:Len	déanamh
maidir	Subst:Noun:Sg	maidir
le	Prep:Simp	le
paitinn	Noun:Fem:Com:Sg	paitinn
ar	Prep:Simp	ar
an	Art:Sg:Def	an
scór	Noun:Masc:Com:Sg	scór
gur	Cop:Pres:Dep	is
i	Prep:Simp	i
gcóir	Noun:Fem:Com:Sg:Ecl	cóir
níos	Subst:Noun:Sg:Part:Comp	níos
mó	Adj:Comp	mór
ná	Conj:Coord	ná
aon	Num:Card	aon
chumadóireacht	Noun:Fem:Com:Sg:Len	cumadóireacht
amháin	Adj:Base	amháin
do	Part:Vb	do
deonadh	Verb:PastInd:PastInd:Auto	deon
í	Pron:Pers:3P:Sg:Fem	í
.	Punct:Fin	.
Ach	Conj:Subord	ach
an	Art:Sg:Def	an
oiread	Subst:Noun:Sg	oiread
le	Prep:Simp	le
Steven	Prop:Noun:Fam	Steven
Stiofáinín	Prop:Noun:Fem:Gen	Stiofáinín
(	Punct	(
Seoige	Prop:Noun:Masc:Com:Sg	Seoige
)	Punct	)
,	Punct:Int	,
dúirt	Verb:PastInd	abair
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
ar	Prep:Simp	ar
television	Noun:Masc:Com:Pl	television
é	Pron:Pers:3P:Sg:Masc	é
agus	Conj:Coord	agus
dúirt	Verb:PastInd	abair
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
an	Art:Sg:Def	an
ceart	Noun:Masc:Com:Sg:Def	ceart
.	Punct:Fin	.
Labhair	Verb:VTI:PastInd:Len	labhair
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
os	Prep:Simp	os
ard	Noun:Masc:Com:Sg	ard
.	Punct:Fin	.
Ithe	Verbal:Noun:VTI	ithe
.	Punct:Fin	.
Bhí	Verb:PastInd:Len	bí
an	Art:Sg:Def	an
saol	Noun:Masc:Com:Sg:DefArt	saol
uaigneach	Adj:Masc:Com:Sg	uaigneach
ag	Prep:Simp	ag
Daisy	Prop:Noun:Masc:Com:Sg	Daisy
,	Punct:Int	,
agus	Conj:Coord	agus
is	Cop:Pres	is
mór	Adj:Base	mór
mar	Prep:Simp	mar
a	Part:Vb:Rel:Direct	a
ghoill	Verb:VI:PastInd:Len	goill
sin	Pron:Dem	sin
agus	Conj:Coord	agus
an	Art:Sg:Def	an
easpa	Noun:Fem:Com:Sg:DefArt	easpa
deise	Noun:Fem:Gen:Sg	deis
mar	Prep:Simp	mar
bhean	Noun:Fem:Com:Sg:Len	bean
tí	Noun:Fem:Gen:Sg	tí
uirthi	Pron:Prep:3P:Sg:Fem	ar
.	Punct:Fin	.
Fuair	Verb:VT:PastInd	faigh
sí	Pron:Pers:3P:Sg:Fem:Sbj	sí
post	Noun:Masc:Com:Sg	post
ansin	Adv:Loc	ansin
in	Prep:Simp	i
Oifig	Noun:Fem:Com:Sg	oifig
na	Art:Gen:Sg:Def:Fem	na
Deoise	Noun:Fem:Gen:Sg:DefArt	deoise
,	Punct:Int	,
i	Prep:Simp	i
Halla	Noun:Masc:Com:Sg	halla
Naomh	Prop:Noun:Masc:Com:Sg	naomh
Muire	Prop:Noun:Masc:Gen:Sg	Muire
.	Punct:Fin	.
Bean	Noun:Fem:Com:Sg	Bean
Uasal	Adj:Fem:Com:Sg	uasal
:	Punct:Int	:
Cén	Det:Q:Art:Sg	cé
dul	Noun:Masc:Com:Sg:DefArt	dul
as	Pron:Prep:3P:Sg:Masc	as
a	Part:Vb:Rel:Direct	a
bhí	Verb:VI:PastInd:Len	bí
agam	Pron:Prep:1P:Sg	ag
?	?	?
(vi)	Item	(vi)
tríd	Prep:Simp	trí
an	Art:Sg:Def	an
bhfo-alt	Noun:Masc:Com:Sg:Ecl	fo-alt
seo	Det:Dem	seo
a	Part:Vb:Rel:Direct	a
leanas	Verb:VTI:PresInd:Rel	lean
a	Part:Inf	a
chur	Verbal:Noun:VTI:Len	cur
in	Prep:Simp	i
ionad	Noun:Masc:Com:Sg	ionad
fho-alt	Noun:Masc:Com:Sg:Len	fo-alt
(17)	Item	(17)
:	Punct:Int	:
'	Punct:Quo	'
(17)	Item	(17)
(a)	Item	(a)
Déanfaidh	Verb:VTI:FutInd	déan
an	Art:Sg:Def	an
Binse	Prop:Noun:Masc:Com:Sg	Binse
cinneadh	Noun:Masc:Com:Sg	cinneadh
ón	Prep:Art:Sg	ó
mBinse	Noun:Masc:Com:Sg:Ecl	binse
faoi	Prep:Simp	faoi
fho-alt	Noun:Masc:Com:Sg:Len	fo-alt
(2)	Item	(2)
agus	Conj:Coord	agus
na	Art:Pl:Def	na
cúiseanna	Noun:Fem:Com:Pl:DefArt	cúis
atá	Verb:PresInd:Rel	bí
leis	Pron:Prep:3P:Sg:Masc	le
a	Part:Inf	a
chur	Verbal:Noun:VTI:Len	cur
i	Prep:Simp	i
bhfios	Noun:Masc:Com:Sg:Ecl	fios
don	Prep:Art:Sg	do
iarratasóir	Noun:Masc:Com:Sg	iarratasóir
lena	Prep:Rel	le
mbaineann	Verb:VTI:PresInd:Ecl	bain
agus	Conj:Coord	agus
dá	Prep:Poss:3P:Sg:Masc	do
aturnae	Noun:Masc:Com:Sg	aturnae
nó	Conj:Coord	nó
dá	Prep:Poss:3P:Sg:Fem	do
haturnae	Noun:Masc:Com:Sg:hPref	aturnae
(	Punct	(
más	Conj:Subord:Cop	má
eol	Noun:Masc:Com:Sg	eol
)	Punct	)
.	Punct:Fin	.
Is	Cop:Pres	is
í	Pron:Pers:3P:Sg:Fem	í
Croinic	Noun:Fem:Com:Sg	croinic
Thomáis	Prop:Noun:Masc:Gen:Len	Tomás
Eccleston	Prop:Noun:Masc:Com:Sg	Eccleston
is	Cop:Pres:Rel	is
foinse	Noun:Fem:Com:Sg	foinse
do	Prep:Simp	do
sheoladh	Noun:Masc:Com:Sg:Len	seoladh
na	Art:Gen:Sg:Def:Fem	na
litreach	Noun:Fem:Gen:Sg:DefArt	litir
seo	Det:Dem	seo
Maidir	Subst:Noun:Sg	maidir
le	Prep:Simp	le
fuaimeanna	Noun:Fem:Com:Pl	fuaim
,	Punct:Int	,
éist	Verb:VTI:Imper:2P:Sg	éist
leis	Pron:Prep:3P:Sg:Masc	le
seo	Pron:Dem	seo
:	Punct:Int	:
'	Punct:Quo	'
Fuaimeanna	Noun:Fem:Com:Pl	fuaim
beaga	Adj:Gen:Strong:Pl	beag
aisteacha	Adj:Com:NotSlen:Pl	aisteach
na	Art:Gen:Sg:Def:Fem	na
hoíche	Noun:Fem:Gen:Sg:DefArt	oíche
ba	Cop:Past:Rel	is
bhreátha	Adj:Comp	breá
leis	Prep:Simp	le
an	Art:Sg:Def	an
dall	Noun:Masc:Com:Sg:DefArt	dall
.	Punct:Fin	.
Bhí	Verb:PastInd:Len	bí
Máirtín	Prop:Noun:Masc:Com:Sg	Máirtín
conspóideach	Adj:Base	conspóideach
.	Punct:Fin	.
An	Cop:Pres:Q	is
iad	Pron:Pers:3P:Pl	iad
na	Art:Pl:Def	na
daoine	Noun:Masc:Com:Pl:DefArt	duine
siúd	Det:Dem	siúd
na	Art:Pl:Def	na
buaiteoirí	Noun:Masc:Com:Pl:DefArt	buaiteoir
?	?	?
Fórsa	Noun:Masc:Com:Sg	fórsa
a	Part:Inf	a
Thomhas	Verbal:Noun:VTI:Len	tomhas
.	Punct:Fin	.
Ba	Cop:Past	is
chóir	Adj:Base:Len	cóir
go	Part:Vb:Cmpl	go
gcuirfí	Verb:VTI:Cond:Auto:Ecl	cuir
ar	Prep:Simp	ar
chumas	Noun:Masc:Com:Sg:Len	cumas
an	Art:Sg:Def	an
pháiste	Noun:Masc:Gen:Sg:DefArt	páiste
-	Punct:Bar	-
maidir	Subst:Noun:Sg	maidir
le	Prep:Simp	le
raon	Noun:Masc:Com:Sg	raon
leathan	Adj:Masc:Com:Sg	leathan
rudaí	Noun:Masc:Gen:Strong:Pl	rud
,	Punct:Int	,
a	Det:Poss:3P:Pl	a
bhfad	Noun:Masc:Com:Sg:Ecl	fad
a	Part:Inf	a
mheas	Verbal:Noun:Len	meas
,	Punct:Int	,
a	Part:Inf	a
thomhas	Verbal:Noun:Len	tomhas
,	Punct:Int	,
a	Part:Inf	a
chur	Verbal:Noun:VT:Len	cur
i	Prep:Simp	i
gcomparáid	Noun:Fem:Com:Sg:Ecl	comparáid
agus	Conj:Coord	agus
a	Part:Inf	a
chlárú	Verbal:Noun:Len	clárú
agus	Conj:Coord	agus
úsáid	Noun:Fem:Com:Sg	úsáid
a	Part:Inf	a
bhaint	Verbal:Noun:Len	baint
as	Prep:Simp	as
aonaid	Noun:Masc:Com:Pl	aonad
mhéadracha	Adj:Com:Slender:Pl	méadrach
chuí	Adj:Com:Slender:Pl	cuí
(	Punct	(
m	Item	m
,	Punct:Int	,
cm	Abr	cm
)	Punct	)
chuige	Pron:Prep:3P:Sg:Masc	chuig
tomhas	Noun:Masc:Com:Sg	tomhas
a	Part:Inf	a
dhéanamh	Verbal:Noun:Len	déanamh
chun	Prep:Simp	chun
meastacháin	Noun:Masc:Com:Pl	meastachán
a	Part:Inf	a
dhearbhú	Verbal:Noun:Len	dearbhú
-	Punct:Bar	-
aonaid	Noun:Masc:Com:Pl	aonad
fhaid	Noun:Masc:Gen:Sg:Len	fad
a	Part:Inf	a
athainmniú	Verbal:Noun	athainmniú
i	Prep:Simp	i
méadair	Noun:Masc:Com:Pl	méadar
agus	Conj:Coord	agus
i	Prep:Simp	i
gceintiméadair	Noun:Masc:Com:Pl:Ecl	ceintiméadar
.	Punct:Fin	.
Tar	Verb:VI:Imperf:2P:Sg	tar
éis	Subst:Noun:Sg	éis
trí	Num:Card	trí
lá	Noun:Masc:Com:Sg:Len	lá
tháinig	Verb:VI:PastInd:Len	tar
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
abhaile	Adv:Dir	abhaile
.	Punct:Fin	.
Le	Prep:Simp	le
blianta	Noun:Fem:Com:Pl	bliain
fada	Adj:Base	fada
tá	Verb:PresInd	bí
dumpáil	Verbal:Noun:VT	dumpáil
ar	Prep:Simp	ar
bun	Noun:Masc:Com:Sg	bun
i	Prep:Simp	i
nGleann	Noun:Masc:Com:Sg:Ecl	gleann
na	Art:Gen:Sg:Def:Fem	na
Claise	Noun:Fem:Gen:Sg:DefArt	clais
Móire	Prop:Noun:Fem:Gen	Mór
ar	Prep:Simp	ar
an	Art:Sg:Def	an
mbóthar	Noun:Masc:Com:Sg:Ecl	bóthar
ó	Prep:Simp	ó
Dhún	Noun:Masc:Com:Sg:Len	dún
Chaoin	Prop:Noun:Fem:Gen:Sg	Caoin
go	Part:Vb:Subj	go
dtí	Verb:VI:PresSubj:Ecl	tar
an	Art:Sg:Def	an
nGráig	Noun:Fem:Com:Sg:Ecl	gráig
agus	Conj:Coord	agus
tá	Verb:PresInd	bí
amhras	Noun:Masc:Com:Sg	amhras
le	Prep:Simp	le
fada	Adj:Base	fada
go	Part:Vb:Cmpl	go
bhfuil	Verb:PresInd:Dep:Ecl	bí
daoine	Noun:Masc:Com:Pl	duine
áirithe	Adj:Base	áirithe
sa	Prep:Art:Sg	i
cheantar	Noun:Masc:Com:Sg:Len	ceantar
i	Prep:Simp	i
mbun	Noun:Masc:Com:Sg:Ecl	bun
na	Art:Gen:Sg:Def:Fem	na
dumpála	Verbal:Noun:Gen	dumpáilte
sin	Det:Dem	sin
ach	Conj:Subord	ach
ní	Part:Vb:Neg	ní
tángthas	Verb:VI:PastInd:Auto:Neg	tar
ar	Prep:Simp	ar
aon	Det:Qty:Idf	aon
fhianaise	Noun:Fem:Com:Sg:Len	fianaise
dhearfach	Adj:Fem:Com:Sg	dearfach
go	Part:Ad	go
fóill	Adj:Base	fóill
.	Punct:Fin	.
'	Punct:Quo	'
'	Punct:Quo	'
Cén	Pron:Q:Art:Sg	cé
chaoi	Noun:Fem:Com:Sg:DefArt	caoi
a	Part:Vb:Rel:Direct	a
raibh	Verb:PastInd:Dep:Ecl	bí
an	Art:Sg:Def	an
drama	Noun:Masc:Gen:Sg	dram
úd	Det:Dem	úd
i	Prep:Simp	i
mBéarla	Noun:Masc:Com:Sg:Ecl	béarla
Inis	Prop:Noun:Masc:Com:Sg	inis
Meáin	Noun:Masc:Gen:Sg	meán
?	?	?
Tá	Verb:PresInd	bí
liosta	Noun:Masc:Com:Sg	liosta
de	Prep:Simp	de
dhá	Num:Card:Def	dó
cheann	Noun:Masc:Com:Sg:Len	ceann
déag	Subst:Noun:Sg	déag
de	Prep:Simp	de
chúraimí	Noun:Masc:Com:Pl:Len	cúram
atá	Verb:PresInd:Rel	bí
le	Prep:Simp	le
cur	Verbal:Noun:VTI	cur
i	Prep:Simp	i
gcrích	Noun:Fem:Dat:Sg:Ecl	críoch
agam	Pron:Prep:1P:Sg	ag
,	Punct:Int	,
an	Art:Sg:Def	an
ceann	Noun:Masc:Com:Sg:DefArt	ceann
uileghabhálach	Adj:Masc:Com:Sg	uileghabhálach
seo	Det:Dem	seo
san	Prep:Art:Sg	i
áireamh	Noun:Masc:Com:Sg	áireamh
:	Punct:Int	:
'	Punct:Quo	'
other	Foreign	other
tasks	Foreign	tasks
as	Prep:Simp	as
deemed	Foreign	deemed
necessary	Foreign	necessary
by	Foreign	by
UNDDSMS	Abr	UNDDSMS
(	Punct	(
pé	Pron:Idf	pé
hiad	Pron:Pers:3P:Pl	iad
féin	Pron:Ref	féin
!	!	!
den	Prep:Art:Sg	de
chopail	Noun:Fem:Com:Sg:Def	copail
)	Punct	)
sa	Prep:Art:Sg	i
chanúint	Noun:Fem:Com:Sg:Def	canúint
,	Punct:Int	,
agus	Conj:Coord	agus
sin	Pron:Dem	sin
mar	Conj:Subord	mar
atá	Verb:PresInd:Rel	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
go	Part:Ad	go
hiondúil	Adj:Base:Pref	iondúil
ag	Prep:Simp	ag
an	Art:Sg:Def	an
bPiarsach	Noun:Masc:Com:Sg	bpiarsach
.	Punct:Fin	.
Tharla	Verb:VTI:PastInd:Len	tarlaigh
an	Art:Sg:Def	an
rud	Noun:Masc:Com:Sg:DefArt	rud
céanna	Adj:Base:Len	céanna
do	Prep:Simp	do
Chlann	Noun:Fem:Com:Sg:Len	clann
na	Art:Gen:Sg:Def:Fem	na
Poblachta	Noun:Fem:Gen:Sg:DefArt	poblacht
tráth	Noun:Masc:Com:Sg	tráth
,	Punct:Int	,
agus	Conj:Coord	agus
do	Prep:Simp	do
Pháirtí	Noun:Masc:Com:Sg:Len	páirtí
na	Art:Gen:Sg:Def:Fem	na
nOibrithe	Noun:Masc:Gen:Strong:Pl:DefArt	oibriú
.	Punct:Fin	.
D'	Part:Vb	do
admhaigh	Verb:VTI:PastInd	admhaigh
Piaras	Prop:Noun:Masc:Com:Sg	Piaras
Ó	Part:Pat	ó
Dochartaigh	Prop:Noun:Masc:Com:Sg	Dochartaigh
go	Part:Vb:Cmpl	go
raibh	Verb:PastInd:Dep:Ecl	bí
an	Art:Sg:Def	an
páirtí	Noun:Masc:Com:Sg:DefArt	páirtí
rólag	Adj:Base	lag
le	Prep:Simp	le
tabhairt	Verbal:Noun:VTI	tabhairt
faoin	Prep:Art:Sg	faoi
suíochán	Noun:Masc:Com:Sg:DefArt	suíochán
i	Prep:Simp	i
gceart	Noun:Masc:Com:Sg:Ecl	ceart
an	Art:Sg:Def	an
iarraidh	Noun:Fem:Com:Sg:DefArt	iarraidh
seo	Det:Dem	seo
.	Punct:Fin	.
Tá	Verb:PresInd	bí
sé	Pron:Pers:3P:Sg:Masc:Sbj	sé
an-tábhachtach	Adj:Base	tábhachtach
go	Part:Vb:Cmpl	go
mbíonn	Verb:PresImp:Ecl	bí
gach	Det:Qty:Def	gach
pobal	Noun:Masc:Com:Sg	pobal
ar	Prep:Simp	ar
an	Art:Sg:Def	an
airdeall	Noun:Masc:Com:Sg	airdeall
faoi	Prep:Simp	faoi
dhumpáil	Verbal:Noun:VT:Len	dumpáil
mhídhleathach	Adj:Base:Len	mídhleathach
agus	Conj:Coord	agus
níor	Cop:Past:Neg	is
cheart	Adj:Base:Len	ceart
aon	Det:Qty:Idf	aon
leisce	Noun:Fem:Com:Sg	leisce
bheith	Verbal:Noun:Len	bheith
ar	Prep:Simp	ar
aon	Det:Qty:Idf	aon
duine	Noun:Masc:Com:Sg	duine
dul	Verbal:Noun:VTI	dul
i	Prep:Simp	i
dteangbháil	Noun:Fem:Com:Sg	dteangbháil
leis	Prep:Simp	le
na	Art:Pl:Def	na
húdaráis	Noun:Masc:Com:Pl:DefArt	údarás
má	Conj:Subord	má
tugtar	Verb:VTI:PresInd:Auto	tabhair
a	Det:Poss:3P:Sg:Masc	a
leithéid	Noun:Fem:Com:Sg	leithéid
faoi	Prep:Simp	faoi
ndeara	Subst:Noun:Sg:Ecl	deara
,	Punct:Int	,
'	Punct:Quo	'
arsa	Verb:PastInd	arsa
an	Art:Sg:Def	an
Coileánach	Prop:Noun:Masc:Com:Sg:DefArt	Coileáin
.	Punct:Fin	.
Éire	Prop:Noun:Fem:Com:Sg	Éire
agus	Conj:Coord	agus
an	Art:Sg:Def	an
dúshaothrú	Verbal:Noun:VTI	dúshaothrú
a	Part:Vb:Rel:Direct	a
rinneadh	Verb:PastInd:Auto	déan
uirthi	Pron:Prep:3P:Sg:Fem	ar
san	Prep:Art:Sg	i
am	Noun:Masc:Com:Sg	am
atá	Verb:PresInd:Rel	bí
thart	Adv:Dir	thart
.	Punct:Fin	.
Scrúdaigh	Verb:PastInd:Len	Scrúdaigh
siadsan	Pron:Pers:3P:Pl:Sbj:Emph	siad
mé	Pron:Pers:1P:Sg	mé
agus	Conj:Coord	agus
nuair	Conj:Subord	nuair
nach	Part:Vb:Neg:Rel	nach
raibh	Verb:PastInd:Dep:Neg:Len	bí
aon	Det:Qty:Idf	aon
chúis	Noun:Fem:Com:Sg:Len	cúis
orm	Pron:Prep:1P:Sg	ar
a	Part:Vb:Rel:Direct	a
thuillfeadh	Verb:Cond:Len	tuill
an	Art:Sg:Def	an
bás	Noun:Masc:Com:Sg:Def	bás
,	Punct:Int	,
bheartaigh	Verb:PastInd:Len	beartaigh
siad	Pron:Pers:3P:Pl:Sbj	siad
mé	Pron:Pers:1P:Sg	mé
a	Part:Inf	a
scaoileadh	Verbal:Noun:VTI	scaoileadh
saor	Adj:Base	saor
.	Punct:Fin	.
Tigh	Noun:Masc:Dat:Sg	teach
Tábhairne	Noun:Masc:Gen:Sg	tábhairne
agus	Conj:Coord	agus
Lóistín	Noun:Masc:Gen:Sg	lóistín
atá	Verb:VI:PresInd:Rel	bí
anois	Adv:Gn	anois
ann	Pron:Prep:3P:Sg:Masc	i
.	Punct:Fin	.
Ba	Cop:Past	is
é	Pron:Pers:3P:Sg:Masc	é
a	Det:Poss:3P:Sg:Masc	a
dheartháir	Noun:Masc:Com:Sg:Len	deartháir
Ian	Prop:Noun:Masc:Com:Sg	Ian
agus	Conj:Coord	agus
fear	Noun:Masc:Com:Sg	fear
eile	Det:Dem	eile
Tom	Prop:Noun:Masc:Com:Sg	Tom
Sheldon	Prop:Noun:Masc:Com:Sg	Sheldon
a	Part:Vb:Rel:Direct	a
bhí	Verb:PastInd:Len	bí
i	Prep:Simp	i
mbun	Noun:Masc:Com:Sg:Ecl	bun
na	Art:Gen:Sg:Def:Fem	na
seirbhíse	Noun:Fem:Gen:Sg:DefArt	seirbhís
seo	Det:Dem	seo
.	Punct:Fin	.
I	Prep:Simp	I
measc	Noun:Masc:Com:Sg	measc
na	Art:Gen:Sg:Def:Fem	na
n-ábhar	Noun:Masc:Gen:Weak:Pl:DefArt	ábhar
a	Part:Vb:Rel:Indirect	a
mbeidh	Verb:FutInd:Ecl	bí
taighde	Noun:Masc:Com:Sg	taighde
á	Prep:Poss:3P:Sg:Masc:Obj	do
dhéanamh	Verbal:Noun:VTI:Len	déanamh
